Date (DD/MM/YYYY),Outlet Name (Do Not Edit),Supplier Name,Supplier Phone,Supplier Email,Supplier Address,Supplier City,Supplier State,Supplier Postal Code,Note,Order No.,Created By,Items Name (Do Not Edit),Variant Name (Do Not Edit),Category (Do Not Edit),SKU (Do Not Edit),In Stock (Do Not Edit),Order,Unit Cost,Total,Status
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,102158 SPECS ACCELERATOR ALPHA NERVE JR FG - AQUA GRAY/GREEN LIGHT,33,SEPATU BOLA,10215833,0,1,139930,139930,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,102158 SPECS ACCELERATOR ALPHA NERVE JR FG - AQUA GRAY/GREEN LIGHT,34,SEPATU BOLA,10215834,0,1,139930,139930,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,102158 SPECS ACCELERATOR ALPHA NERVE JR FG - AQUA GRAY/GREEN LIGHT,35,SEPATU BOLA,10215835,0,1,139930,139930,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,102158 SPECS ACCELERATOR ALPHA NERVE JR FG - AQUA GRAY/GREEN LIGHT,36,SEPATU BOLA,10215836,0,1,139930,139930,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,402284 SPECS REACTO BLITZ 2 CORE IN - VALHALLA/MOONRAKER/GREEN GECKO,38,SEPATU FUTSAL,40228438,0,2,214900,429800,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,402284 SPECS REACTO BLITZ 2 CORE IN - VALHALLA/MOONRAKER/GREEN GECKO,39,SEPATU FUTSAL,40228439,0,4,214900,859600,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,402284 SPECS REACTO BLITZ 2 CORE IN - VALHALLA/MOONRAKER/GREEN GECKO,40,SEPATU FUTSAL,40228440,0,8,214900,1719200,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,402284 SPECS REACTO BLITZ 2 CORE IN - VALHALLA/MOONRAKER/GREEN GECKO,41,SEPATU FUTSAL,40228441,0,8,214900,1719200,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,402284 SPECS REACTO BLITZ 2 CORE IN - VALHALLA/MOONRAKER/GREEN GECKO,42,SEPATU FUTSAL,40228442,0,8,214900,1719200,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,402284 SPECS REACTO BLITZ 2 CORE IN - VALHALLA/MOONRAKER/GREEN GECKO,43,SEPATU FUTSAL,40228443,0,4,214900,859600,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,402284 SPECS REACTO BLITZ 2 CORE IN - VALHALLA/MOONRAKER/GREEN GECKO,44,SEPATU FUTSAL,40228444,0,2,214900,429800,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,402285 REACTO BLITZ 2 CORE IN - IVORY OATS/APRICOT WASH/BISCAY,37,SEPATU FUTSAL,40228537,0,1,214900,214900,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,402285 REACTO BLITZ 2 CORE IN - IVORY OATS/APRICOT WASH/BISCAY,38,SEPATU FUTSAL,40228538,0,2,214900,429800,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,402285 REACTO BLITZ 2 CORE IN - IVORY OATS/APRICOT WASH/BISCAY,39,SEPATU FUTSAL,40228539,0,4,214900,859600,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,402285 REACTO BLITZ 2 CORE IN - IVORY OATS/APRICOT WASH/BISCAY,40,SEPATU FUTSAL,40228540,0,8,214900,1719200,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,402285 REACTO BLITZ 2 CORE IN - IVORY OATS/APRICOT WASH/BISCAY,41,SEPATU FUTSAL,40228541,0,8,214900,1719200,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,402285 REACTO BLITZ 2 CORE IN - IVORY OATS/APRICOT WASH/BISCAY,42,SEPATU FUTSAL,40228542,0,8,214900,1719200,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,402285 REACTO BLITZ 2 CORE IN - IVORY OATS/APRICOT WASH/BISCAY,43,SEPATU FUTSAL,40228543,0,4,214900,859600,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,402285 REACTO BLITZ 2 CORE IN - IVORY OATS/APRICOT WASH/BISCAY,44,SEPATU FUTSAL,40228544,0,2,214900,429800,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,402285 REACTO BLITZ 2 CORE IN - IVORY OATS/APRICOT WASH/BISCAY,45,SEPATU FUTSAL,40228545,0,1,214900,214900,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,SPE1010118 SPECS GALACTICA MORPH FG - AQUARIUS/CYBER YELLOW,39,SEPATU BOLA,SPE1010118390,0,2,389870,779740,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,SPE1010118 SPECS GALACTICA MORPH FG - AQUARIUS/CYBER YELLOW,40,SEPATU BOLA,SPE1010118400,0,3,389870,1169610,Created
26/08/2024 15:32	,34360 - MALANG,,,,,,,,,#007526055,LOGISTIK MALANG,SPE1010118 SPECS GALACTICA MORPH FG - AQUARIUS/CYBER YELLOW,41,SEPATU BOLA,SPE1010118410,0,3,389870,1169610,Created
